item,itemLabel,peerageID,birth,death,floruit,prop,propLabel,value,valueLabel
http://www.wikidata.org/entity/Q5052999,"Catherine of Austria, Lady of Coucy",p3917.htm#i39169,1320-02-17T00:00:00Z,1349-10-06T00:00:00Z,,http://www.wikidata.org/prop/direct/P106,http://www.wikidata.org/prop/direct/P106,http://www.wikidata.org/entity/Q2478141,aristocrat
http://www.wikidata.org/entity/Q5052999,"Catherine of Austria, Lady of Coucy",p3917.htm#i39169,1320-02-17T00:00:00Z,1349-10-06T00:00:00Z,,http://www.wikidata.org/prop/direct/P119,http://www.wikidata.org/prop/direct/P119,http://www.wikidata.org/entity/Q675554,Former Abbey Königsfelden
http://www.wikidata.org/entity/Q5052999,"Catherine of Austria, Lady of Coucy",p3917.htm#i39169,1320-02-17T00:00:00Z,1349-10-06T00:00:00Z,,http://www.wikidata.org/prop/direct/P18,http://www.wikidata.org/prop/direct/P18,http://commons.wikimedia.org/wiki/Special:FilePath/Catherine%20of%20Austria%20%281320-1349%29.jpg,http://commons.wikimedia.org/wiki/Special:FilePath/Catherine%20of%20Austria%20%281320-1349%29.jpg
http://www.wikidata.org/entity/Q5052999,"Catherine of Austria, Lady of Coucy",p3917.htm#i39169,1320-02-17T00:00:00Z,1349-10-06T00:00:00Z,,http://www.wikidata.org/prop/direct/P19,http://www.wikidata.org/prop/direct/P19,http://www.wikidata.org/entity/Q1741,Vienna
http://www.wikidata.org/entity/Q5052999,"Catherine of Austria, Lady of Coucy",p3917.htm#i39169,1320-02-17T00:00:00Z,1349-10-06T00:00:00Z,,http://www.wikidata.org/prop/direct/P20,http://www.wikidata.org/prop/direct/P20,http://www.wikidata.org/entity/Q1741,Vienna
http://www.wikidata.org/entity/Q5052999,"Catherine of Austria, Lady of Coucy",p3917.htm#i39169,1320-02-17T00:00:00Z,1349-10-06T00:00:00Z,,http://www.wikidata.org/prop/direct/P21,http://www.wikidata.org/prop/direct/P21,http://www.wikidata.org/entity/Q6581072,female
http://www.wikidata.org/entity/Q5052999,"Catherine of Austria, Lady of Coucy",p3917.htm#i39169,1320-02-17T00:00:00Z,1349-10-06T00:00:00Z,,http://www.wikidata.org/prop/direct/P22,http://www.wikidata.org/prop/direct/P22,http://www.wikidata.org/entity/Q223421,"Leopold I, Duke of Austria"
http://www.wikidata.org/entity/Q5052999,"Catherine of Austria, Lady of Coucy",p3917.htm#i39169,1320-02-17T00:00:00Z,1349-10-06T00:00:00Z,,http://www.wikidata.org/prop/direct/P25,http://www.wikidata.org/prop/direct/P25,http://www.wikidata.org/entity/Q634058,Catherine of Savoy
http://www.wikidata.org/entity/Q5052999,"Catherine of Austria, Lady of Coucy",p3917.htm#i39169,1320-02-17T00:00:00Z,1349-10-06T00:00:00Z,,http://www.wikidata.org/prop/direct/P26,http://www.wikidata.org/prop/direct/P26,http://www.wikidata.org/entity/Q75286513,Graf Conrad von Hardegg
http://www.wikidata.org/entity/Q5052999,"Catherine of Austria, Lady of Coucy",p3917.htm#i39169,1320-02-17T00:00:00Z,1349-10-06T00:00:00Z,,http://www.wikidata.org/prop/direct/P26,http://www.wikidata.org/prop/direct/P26,http://www.wikidata.org/entity/Q951662,"Enguerrand VI, Lord of Coucy"
http://www.wikidata.org/entity/Q5052999,"Catherine of Austria, Lady of Coucy",p3917.htm#i39169,1320-02-17T00:00:00Z,1349-10-06T00:00:00Z,,http://www.wikidata.org/prop/direct/P31,http://www.wikidata.org/prop/direct/P31,http://www.wikidata.org/entity/Q5,human
http://www.wikidata.org/entity/Q5052999,"Catherine of Austria, Lady of Coucy",p3917.htm#i39169,1320-02-17T00:00:00Z,1349-10-06T00:00:00Z,,http://www.wikidata.org/prop/direct/P40,http://www.wikidata.org/prop/direct/P40,http://www.wikidata.org/entity/Q115634108,Marie Anne de Coucy
http://www.wikidata.org/entity/Q5052999,"Catherine of Austria, Lady of Coucy",p3917.htm#i39169,1320-02-17T00:00:00Z,1349-10-06T00:00:00Z,,http://www.wikidata.org/prop/direct/P40,http://www.wikidata.org/prop/direct/P40,http://www.wikidata.org/entity/Q116003592,Jeanne de Coucy
http://www.wikidata.org/entity/Q5052999,"Catherine of Austria, Lady of Coucy",p3917.htm#i39169,1320-02-17T00:00:00Z,1349-10-06T00:00:00Z,,http://www.wikidata.org/prop/direct/P40,http://www.wikidata.org/prop/direct/P40,http://www.wikidata.org/entity/Q1342999,"Enguerrand VII, Lord of Coucy"
http://www.wikidata.org/entity/Q5052999,"Catherine of Austria, Lady of Coucy",p3917.htm#i39169,1320-02-17T00:00:00Z,1349-10-06T00:00:00Z,,http://www.wikidata.org/prop/direct/P53,http://www.wikidata.org/prop/direct/P53,http://www.wikidata.org/entity/Q65968,House of Habsburg
http://www.wikidata.org/entity/Q5052999,"Catherine of Austria, Lady of Coucy",p3917.htm#i39169,1320-02-17T00:00:00Z,1349-10-06T00:00:00Z,,http://www.wikidata.org/prop/direct/P1185,http://www.wikidata.org/prop/direct/P1185,722276,722276
http://www.wikidata.org/entity/Q5052999,"Catherine of Austria, Lady of Coucy",p3917.htm#i39169,1320-02-17T00:00:00Z,1349-10-06T00:00:00Z,,http://www.wikidata.org/prop/direct/P1196,http://www.wikidata.org/prop/direct/P1196,http://www.wikidata.org/entity/Q3739104,natural causes
http://www.wikidata.org/entity/Q5052999,"Catherine of Austria, Lady of Coucy",p3917.htm#i39169,1320-02-17T00:00:00Z,1349-10-06T00:00:00Z,,http://www.wikidata.org/prop/direct/P1343,http://www.wikidata.org/prop/direct/P1343,http://www.wikidata.org/entity/Q665807,Biographisches Lexikon des Kaiserthums Oesterreich
http://www.wikidata.org/entity/Q5052999,"Catherine of Austria, Lady of Coucy",p3917.htm#i39169,1320-02-17T00:00:00Z,1349-10-06T00:00:00Z,,http://www.wikidata.org/prop/direct/P1559,http://www.wikidata.org/prop/direct/P1559,Katharina von Habsburg,Katharina von Habsburg
http://www.wikidata.org/entity/Q5052999,"Catherine of Austria, Lady of Coucy",p3917.htm#i39169,1320-02-17T00:00:00Z,1349-10-06T00:00:00Z,,http://www.wikidata.org/prop/direct/P1559,http://www.wikidata.org/prop/direct/P1559,Catherine d'Autriche,Catherine d'Autriche
http://www.wikidata.org/entity/Q5052999,"Catherine of Austria, Lady of Coucy",p3917.htm#i39169,1320-02-17T00:00:00Z,1349-10-06T00:00:00Z,,http://www.wikidata.org/prop/direct/P1819,http://www.wikidata.org/prop/direct/P1819,I00012424,I00012424
http://www.wikidata.org/entity/Q5052999,"Catherine of Austria, Lady of Coucy",p3917.htm#i39169,1320-02-17T00:00:00Z,1349-10-06T00:00:00Z,,http://www.wikidata.org/prop/direct/P2600,http://www.wikidata.org/prop/direct/P2600,6000000006444780421,6000000006444780421
http://www.wikidata.org/entity/Q5052999,"Catherine of Austria, Lady of Coucy",p3917.htm#i39169,1320-02-17T00:00:00Z,1349-10-06T00:00:00Z,,http://www.wikidata.org/prop/direct/P2949,http://www.wikidata.org/prop/direct/P2949,Oostenrijk-1,Oostenrijk-1
http://www.wikidata.org/entity/Q5052999,"Catherine of Austria, Lady of Coucy",p3917.htm#i39169,1320-02-17T00:00:00Z,1349-10-06T00:00:00Z,,http://www.wikidata.org/prop/direct/P3368,http://www.wikidata.org/prop/direct/P3368,2125519,2125519
http://www.wikidata.org/entity/Q5052999,"Catherine of Austria, Lady of Coucy",p3917.htm#i39169,1320-02-17T00:00:00Z,1349-10-06T00:00:00Z,,http://www.wikidata.org/prop/direct/P3373,http://www.wikidata.org/prop/direct/P3373,http://www.wikidata.org/entity/Q291511,Agnes of Austria
http://www.wikidata.org/entity/Q5052999,"Catherine of Austria, Lady of Coucy",p3917.htm#i39169,1320-02-17T00:00:00Z,1349-10-06T00:00:00Z,,http://www.wikidata.org/prop/direct/P373,http://www.wikidata.org/prop/direct/P373,"Catherine of Austria, Lady of Coucy","Catherine of Austria, Lady of Coucy"
http://www.wikidata.org/entity/Q5052999,"Catherine of Austria, Lady of Coucy",p3917.htm#i39169,1320-02-17T00:00:00Z,1349-10-06T00:00:00Z,,http://www.wikidata.org/prop/direct/P4159,http://www.wikidata.org/prop/direct/P4159,Katherine_of_Austria_(1320-1349)_(1),Katherine_of_Austria_(1320-1349)_(1)
http://www.wikidata.org/entity/Q5052999,"Catherine of Austria, Lady of Coucy",p3917.htm#i39169,1320-02-17T00:00:00Z,1349-10-06T00:00:00Z,,http://www.wikidata.org/prop/direct/P4638,http://www.wikidata.org/prop/direct/P4638,p3917.htm#i39169,p3917.htm#i39169
http://www.wikidata.org/entity/Q5052999,"Catherine of Austria, Lady of Coucy",p3917.htm#i39169,1320-02-17T00:00:00Z,1349-10-06T00:00:00Z,,http://www.wikidata.org/prop/direct/P509,http://www.wikidata.org/prop/direct/P509,http://www.wikidata.org/entity/Q133780,plague
http://www.wikidata.org/entity/Q5052999,"Catherine of Austria, Lady of Coucy",p3917.htm#i39169,1320-02-17T00:00:00Z,1349-10-06T00:00:00Z,,http://www.wikidata.org/prop/direct/P569,http://www.wikidata.org/prop/direct/P569,1320-02-17T00:00:00Z,1320-02-17T00:00:00Z
http://www.wikidata.org/entity/Q5052999,"Catherine of Austria, Lady of Coucy",p3917.htm#i39169,1320-02-17T00:00:00Z,1349-10-06T00:00:00Z,,http://www.wikidata.org/prop/direct/P570,http://www.wikidata.org/prop/direct/P570,1349-10-06T00:00:00Z,1349-10-06T00:00:00Z
http://www.wikidata.org/entity/Q5052999,"Catherine of Austria, Lady of Coucy",p3917.htm#i39169,1320-02-17T00:00:00Z,1349-10-06T00:00:00Z,,http://www.wikidata.org/prop/direct/P646,http://www.wikidata.org/prop/direct/P646,/m/0j7n4ft,/m/0j7n4ft
http://www.wikidata.org/entity/Q5052999,"Catherine of Austria, Lady of Coucy",p3917.htm#i39169,1320-02-17T00:00:00Z,1349-10-06T00:00:00Z,,http://www.wikidata.org/prop/direct/P735,http://www.wikidata.org/prop/direct/P735,http://www.wikidata.org/entity/Q2218095,Catherine
http://www.wikidata.org/entity/Q5052999,"Catherine of Austria, Lady of Coucy",p3917.htm#i39169,1320-02-17T00:00:00Z,1349-10-06T00:00:00Z,,http://www.wikidata.org/prop/direct/P7929,http://www.wikidata.org/prop/direct/P7929,p=katharina;n=von habsburg;oc=5,p=katharina;n=von habsburg;oc=5
http://www.wikidata.org/entity/Q5052999,"Catherine of Austria, Lady of Coucy",p3917.htm#i39169,1320-02-17T00:00:00Z,1349-10-06T00:00:00Z,,http://www.wikidata.org/prop/direct/P8172,http://www.wikidata.org/prop/direct/P8172,dw.1546,dw.1546
http://www.wikidata.org/entity/Q5053950,Catrin ferch Owain Glyndŵr,p10727.htm#i107266,1350-01-01T00:00:00Z,1413-01-01T00:00:00Z,,http://www.wikidata.org/prop/direct/P20,http://www.wikidata.org/prop/direct/P20,http://www.wikidata.org/entity/Q84,London
http://www.wikidata.org/entity/Q5053950,Catrin ferch Owain Glyndŵr,p10727.htm#i107266,1350-01-01T00:00:00Z,1413-01-01T00:00:00Z,,http://www.wikidata.org/prop/direct/P21,http://www.wikidata.org/prop/direct/P21,http://www.wikidata.org/entity/Q6581072,female
http://www.wikidata.org/entity/Q5053950,Catrin ferch Owain Glyndŵr,p10727.htm#i107266,1350-01-01T00:00:00Z,1413-01-01T00:00:00Z,,http://www.wikidata.org/prop/direct/P22,http://www.wikidata.org/prop/direct/P22,http://www.wikidata.org/entity/Q317279,Owain Glyndŵr
http://www.wikidata.org/entity/Q5053950,Catrin ferch Owain Glyndŵr,p10727.htm#i107266,1350-01-01T00:00:00Z,1413-01-01T00:00:00Z,,http://www.wikidata.org/prop/direct/P25,http://www.wikidata.org/prop/direct/P25,http://www.wikidata.org/entity/Q6759490,Margaret Hanmer
http://www.wikidata.org/entity/Q5053950,Catrin ferch Owain Glyndŵr,p10727.htm#i107266,1350-01-01T00:00:00Z,1413-01-01T00:00:00Z,,http://www.wikidata.org/prop/direct/P26,http://www.wikidata.org/prop/direct/P26,http://www.wikidata.org/entity/Q3402270,Edmund Mortimer
http://www.wikidata.org/entity/Q5053950,Catrin ferch Owain Glyndŵr,p10727.htm#i107266,1350-01-01T00:00:00Z,1413-01-01T00:00:00Z,,http://www.wikidata.org/prop/direct/P27,http://www.wikidata.org/prop/direct/P27,http://www.wikidata.org/entity/Q1483510,Principality of Wales
http://www.wikidata.org/entity/Q5053950,Catrin ferch Owain Glyndŵr,p10727.htm#i107266,1350-01-01T00:00:00Z,1413-01-01T00:00:00Z,,http://www.wikidata.org/prop/direct/P31,http://www.wikidata.org/prop/direct/P31,http://www.wikidata.org/entity/Q5,human
http://www.wikidata.org/entity/Q5053950,Catrin ferch Owain Glyndŵr,p10727.htm#i107266,1350-01-01T00:00:00Z,1413-01-01T00:00:00Z,,http://www.wikidata.org/prop/direct/P40,http://www.wikidata.org/prop/direct/P40,http://www.wikidata.org/entity/Q75387323,Lionel de Mortimer
http://www.wikidata.org/entity/Q5053950,Catrin ferch Owain Glyndŵr,p10727.htm#i107266,1350-01-01T00:00:00Z,1413-01-01T00:00:00Z,,http://www.wikidata.org/prop/direct/P40,http://www.wikidata.org/prop/direct/P40,http://www.wikidata.org/entity/Q75387325,unknown daughter de Mortimer
http://www.wikidata.org/entity/Q5053950,Catrin ferch Owain Glyndŵr,p10727.htm#i107266,1350-01-01T00:00:00Z,1413-01-01T00:00:00Z,,http://www.wikidata.org/prop/direct/P40,http://www.wikidata.org/prop/direct/P40,http://www.wikidata.org/entity/Q75387326,unknown daughter de Mortimer
http://www.wikidata.org/entity/Q5053950,Catrin ferch Owain Glyndŵr,p10727.htm#i107266,1350-01-01T00:00:00Z,1413-01-01T00:00:00Z,,http://www.wikidata.org/prop/direct/P53,http://www.wikidata.org/prop/direct/P53,http://www.wikidata.org/entity/Q3065370,Mortimer family
http://www.wikidata.org/entity/Q5053950,Catrin ferch Owain Glyndŵr,p10727.htm#i107266,1350-01-01T00:00:00Z,1413-01-01T00:00:00Z,,http://www.wikidata.org/prop/direct/P12749,http://www.wikidata.org/prop/direct/P12749,Q84828,Q84828
http://www.wikidata.org/entity/Q5053950,Catrin ferch Owain Glyndŵr,p10727.htm#i107266,1350-01-01T00:00:00Z,1413-01-01T00:00:00Z,,http://www.wikidata.org/prop/direct/P1343,http://www.wikidata.org/prop/direct/P1343,http://www.wikidata.org/entity/Q105802405,Dictionary of Women Worldwide
http://www.wikidata.org/entity/Q5053950,Catrin ferch Owain Glyndŵr,p10727.htm#i107266,1350-01-01T00:00:00Z,1413-01-01T00:00:00Z,,http://www.wikidata.org/prop/direct/P2632,http://www.wikidata.org/prop/direct/P2632,http://www.wikidata.org/entity/Q62378,Tower of London
http://www.wikidata.org/entity/Q5053950,Catrin ferch Owain Glyndŵr,p10727.htm#i107266,1350-01-01T00:00:00Z,1413-01-01T00:00:00Z,,http://www.wikidata.org/prop/direct/P2949,http://www.wikidata.org/prop/direct/P2949,Glendower-2,Glendower-2
http://www.wikidata.org/entity/Q5053950,Catrin ferch Owain Glyndŵr,p10727.htm#i107266,1350-01-01T00:00:00Z,1413-01-01T00:00:00Z,,http://www.wikidata.org/prop/direct/P3373,http://www.wikidata.org/prop/direct/P3373,http://www.wikidata.org/entity/Q13128826,Gwenllian ferch Owain Glyndŵr
http://www.wikidata.org/entity/Q5053950,Catrin ferch Owain Glyndŵr,p10727.htm#i107266,1350-01-01T00:00:00Z,1413-01-01T00:00:00Z,,http://www.wikidata.org/prop/direct/P3373,http://www.wikidata.org/prop/direct/P3373,http://www.wikidata.org/entity/Q3398217,Maredudd ab Owain Glyndŵr
http://www.wikidata.org/entity/Q5053950,Catrin ferch Owain Glyndŵr,p10727.htm#i107266,1350-01-01T00:00:00Z,1413-01-01T00:00:00Z,,http://www.wikidata.org/prop/direct/P3373,http://www.wikidata.org/prop/direct/P3373,http://www.wikidata.org/entity/Q4738713,Alys ferch Owain Glyndŵr
http://www.wikidata.org/entity/Q5053950,Catrin ferch Owain Glyndŵr,p10727.htm#i107266,1350-01-01T00:00:00Z,1413-01-01T00:00:00Z,,http://www.wikidata.org/prop/direct/P3373,http://www.wikidata.org/prop/direct/P3373,http://www.wikidata.org/entity/Q5611979,Gruffudd ab Owain Glyndŵr
http://www.wikidata.org/entity/Q5053950,Catrin ferch Owain Glyndŵr,p10727.htm#i107266,1350-01-01T00:00:00Z,1413-01-01T00:00:00Z,,http://www.wikidata.org/prop/direct/P373,http://www.wikidata.org/prop/direct/P373,Catrin ferch Owain Glyndŵr,Catrin ferch Owain Glyndŵr
http://www.wikidata.org/entity/Q5053950,Catrin ferch Owain Glyndŵr,p10727.htm#i107266,1350-01-01T00:00:00Z,1413-01-01T00:00:00Z,,http://www.wikidata.org/prop/direct/P4159,http://www.wikidata.org/prop/direct/P4159,Catrin_ferch_Owain_Glyndŵr_(1),Catrin_ferch_Owain_Glyndŵr_(1)
http://www.wikidata.org/entity/Q5053950,Catrin ferch Owain Glyndŵr,p10727.htm#i107266,1350-01-01T00:00:00Z,1413-01-01T00:00:00Z,,http://www.wikidata.org/prop/direct/P4638,http://www.wikidata.org/prop/direct/P4638,p10727.htm#i107266,p10727.htm#i107266
http://www.wikidata.org/entity/Q5053950,Catrin ferch Owain Glyndŵr,p10727.htm#i107266,1350-01-01T00:00:00Z,1413-01-01T00:00:00Z,,http://www.wikidata.org/prop/direct/P569,http://www.wikidata.org/prop/direct/P569,1350-01-01T00:00:00Z,1350-01-01T00:00:00Z
http://www.wikidata.org/entity/Q5053950,Catrin ferch Owain Glyndŵr,p10727.htm#i107266,1350-01-01T00:00:00Z,1413-01-01T00:00:00Z,,http://www.wikidata.org/prop/direct/P570,http://www.wikidata.org/prop/direct/P570,1413-01-01T00:00:00Z,1413-01-01T00:00:00Z
http://www.wikidata.org/entity/Q5053950,Catrin ferch Owain Glyndŵr,p10727.htm#i107266,1350-01-01T00:00:00Z,1413-01-01T00:00:00Z,,http://www.wikidata.org/prop/direct/P646,http://www.wikidata.org/prop/direct/P646,/m/0cnmtm,/m/0cnmtm
http://www.wikidata.org/entity/Q5053950,Catrin ferch Owain Glyndŵr,p10727.htm#i107266,1350-01-01T00:00:00Z,1413-01-01T00:00:00Z,,http://www.wikidata.org/prop/direct/P6802,http://www.wikidata.org/prop/direct/P6802,http://commons.wikimedia.org/wiki/Special:FilePath/Cofeb%20Catrin%20Glynd%C5%B5r.jpg,http://commons.wikimedia.org/wiki/Special:FilePath/Cofeb%20Catrin%20Glynd%C5%B5r.jpg
http://www.wikidata.org/entity/Q5053950,Catrin ferch Owain Glyndŵr,p10727.htm#i107266,1350-01-01T00:00:00Z,1413-01-01T00:00:00Z,,http://www.wikidata.org/prop/direct/P735,http://www.wikidata.org/prop/direct/P735,http://www.wikidata.org/entity/Q20155836,Catrin
http://www.wikidata.org/entity/Q505630,Walthari,p67182.htm#i671811,0600-01-01T00:00:00Z,0546-01-01T00:00:00Z,,http://www.wikidata.org/prop/direct/P106,http://www.wikidata.org/prop/direct/P106,http://www.wikidata.org/entity/Q2304859,sovereign
http://www.wikidata.org/entity/Q505630,Walthari,p67182.htm#i671811,0600-01-01T00:00:00Z,0546-01-01T00:00:00Z,,http://www.wikidata.org/prop/direct/P19,http://www.wikidata.org/prop/direct/P19,http://www.wikidata.org/.well-known/genid/356d56adca1d98367eb545d123f19f36,http://www.wikidata.org/.well-known/genid/356d56adca1d98367eb545d123f19f36
http://www.wikidata.org/entity/Q505630,Walthari,p67182.htm#i671811,0600-01-01T00:00:00Z,0546-01-01T00:00:00Z,,http://www.wikidata.org/prop/direct/P20,http://www.wikidata.org/prop/direct/P20,http://www.wikidata.org/.well-known/genid/ddd7fd9712104901aa017cdb9e2783db,http://www.wikidata.org/.well-known/genid/ddd7fd9712104901aa017cdb9e2783db
http://www.wikidata.org/entity/Q505630,Walthari,p67182.htm#i671811,0600-01-01T00:00:00Z,0546-01-01T00:00:00Z,,http://www.wikidata.org/prop/direct/P21,http://www.wikidata.org/prop/direct/P21,http://www.wikidata.org/entity/Q6581097,male
http://www.wikidata.org/entity/Q505630,Walthari,p67182.htm#i671811,0600-01-01T00:00:00Z,0546-01-01T00:00:00Z,,http://www.wikidata.org/prop/direct/P22,http://www.wikidata.org/prop/direct/P22,http://www.wikidata.org/entity/Q354208,Wacho
http://www.wikidata.org/entity/Q505630,Walthari,p67182.htm#i671811,0600-01-01T00:00:00Z,0546-01-01T00:00:00Z,,http://www.wikidata.org/prop/direct/P25,http://www.wikidata.org/prop/direct/P25,http://www.wikidata.org/entity/Q20048373,Silinga
http://www.wikidata.org/entity/Q505630,Walthari,p67182.htm#i671811,0600-01-01T00:00:00Z,0546-01-01T00:00:00Z,,http://www.wikidata.org/prop/direct/P31,http://www.wikidata.org/prop/direct/P31,http://www.wikidata.org/entity/Q5,human
http://www.wikidata.org/entity/Q505630,Walthari,p67182.htm#i671811,0600-01-01T00:00:00Z,0546-01-01T00:00:00Z,,http://www.wikidata.org/prop/direct/P53,http://www.wikidata.org/prop/direct/P53,http://www.wikidata.org/entity/Q2709068,Lethings
http://www.wikidata.org/entity/Q505630,Walthari,p67182.htm#i671811,0600-01-01T00:00:00Z,0546-01-01T00:00:00Z,,http://www.wikidata.org/prop/direct/P97,http://www.wikidata.org/prop/direct/P97,http://www.wikidata.org/entity/Q22997793,King of Lombards
http://www.wikidata.org/entity/Q505630,Walthari,p67182.htm#i671811,0600-01-01T00:00:00Z,0546-01-01T00:00:00Z,,http://www.wikidata.org/prop/direct/P1185,http://www.wikidata.org/prop/direct/P1185,143565,143565
http://www.wikidata.org/entity/Q505630,Walthari,p67182.htm#i671811,0600-01-01T00:00:00Z,0546-01-01T00:00:00Z,,http://www.wikidata.org/prop/direct/P1559,http://www.wikidata.org/prop/direct/P1559,Waltari,Waltari
http://www.wikidata.org/entity/Q505630,Walthari,p67182.htm#i671811,0600-01-01T00:00:00Z,0546-01-01T00:00:00Z,,http://www.wikidata.org/prop/direct/P3373,http://www.wikidata.org/prop/direct/P3373,http://www.wikidata.org/entity/Q263164,Waldrada
http://www.wikidata.org/entity/Q505630,Walthari,p67182.htm#i671811,0600-01-01T00:00:00Z,0546-01-01T00:00:00Z,,http://www.wikidata.org/prop/direct/P3373,http://www.wikidata.org/prop/direct/P3373,http://www.wikidata.org/entity/Q441547,Wisigard
http://www.wikidata.org/entity/Q505630,Walthari,p67182.htm#i671811,0600-01-01T00:00:00Z,0546-01-01T00:00:00Z,,http://www.wikidata.org/prop/direct/P4638,http://www.wikidata.org/prop/direct/P4638,p67182.htm#i671811,p67182.htm#i671811
http://www.wikidata.org/entity/Q505630,Walthari,p67182.htm#i671811,0600-01-01T00:00:00Z,0546-01-01T00:00:00Z,,http://www.wikidata.org/prop/direct/P569,http://www.wikidata.org/prop/direct/P569,0600-01-01T00:00:00Z,0600-01-01T00:00:00Z
http://www.wikidata.org/entity/Q505630,Walthari,p67182.htm#i671811,0600-01-01T00:00:00Z,0546-01-01T00:00:00Z,,http://www.wikidata.org/prop/direct/P570,http://www.wikidata.org/prop/direct/P570,0546-01-01T00:00:00Z,0546-01-01T00:00:00Z
http://www.wikidata.org/entity/Q505630,Walthari,p67182.htm#i671811,0600-01-01T00:00:00Z,0546-01-01T00:00:00Z,,http://www.wikidata.org/prop/direct/P646,http://www.wikidata.org/prop/direct/P646,/m/09843j,/m/09843j
http://www.wikidata.org/entity/Q505630,Walthari,p67182.htm#i671811,0600-01-01T00:00:00Z,0546-01-01T00:00:00Z,,http://www.wikidata.org/prop/direct/P735,http://www.wikidata.org/prop/direct/P735,http://www.wikidata.org/entity/Q137658205,Q137658205
http://www.wikidata.org/entity/Q5056508,"Cecily Bonville, 7th Baroness Harington",p10756.htm#i107551,1460-07-09T00:00:00Z,1529-05-22T00:00:00Z,,http://www.wikidata.org/prop/direct/P106,http://www.wikidata.org/prop/direct/P106,http://www.wikidata.org/entity/Q2478141,aristocrat
http://www.wikidata.org/entity/Q5056508,"Cecily Bonville, 7th Baroness Harington",p10756.htm#i107551,1460-07-09T00:00:00Z,1530-01-01T00:00:00Z,,http://www.wikidata.org/prop/direct/P106,http://www.wikidata.org/prop/direct/P106,http://www.wikidata.org/entity/Q2478141,aristocrat
http://www.wikidata.org/entity/Q5056508,"Cecily Bonville, 7th Baroness Harington",p10756.htm#i107551,1460-07-09T00:00:00Z,1529-05-22T00:00:00Z,,http://www.wikidata.org/prop/direct/P119,http://www.wikidata.org/prop/direct/P119,http://www.wikidata.org/entity/Q2507709,Astley
http://www.wikidata.org/entity/Q5056508,"Cecily Bonville, 7th Baroness Harington",p10756.htm#i107551,1460-07-09T00:00:00Z,1530-01-01T00:00:00Z,,http://www.wikidata.org/prop/direct/P119,http://www.wikidata.org/prop/direct/P119,http://www.wikidata.org/entity/Q2507709,Astley
http://www.wikidata.org/entity/Q5056508,"Cecily Bonville, 7th Baroness Harington",p10756.htm#i107551,1460-07-09T00:00:00Z,1529-05-22T00:00:00Z,,http://www.wikidata.org/prop/direct/P19,http://www.wikidata.org/prop/direct/P19,http://www.wikidata.org/entity/Q2344154,Shute
http://www.wikidata.org/entity/Q5056508,"Cecily Bonville, 7th Baroness Harington",p10756.htm#i107551,1460-07-09T00:00:00Z,1530-01-01T00:00:00Z,,http://www.wikidata.org/prop/direct/P19,http://www.wikidata.org/prop/direct/P19,http://www.wikidata.org/entity/Q2344154,Shute
http://www.wikidata.org/entity/Q5056508,"Cecily Bonville, 7th Baroness Harington",p10756.htm#i107551,1460-07-09T00:00:00Z,1529-05-22T00:00:00Z,,http://www.wikidata.org/prop/direct/P20,http://www.wikidata.org/prop/direct/P20,http://www.wikidata.org/entity/Q372265,Shacklewell
http://www.wikidata.org/entity/Q5056508,"Cecily Bonville, 7th Baroness Harington",p10756.htm#i107551,1460-07-09T00:00:00Z,1530-01-01T00:00:00Z,,http://www.wikidata.org/prop/direct/P20,http://www.wikidata.org/prop/direct/P20,http://www.wikidata.org/entity/Q372265,Shacklewell
http://www.wikidata.org/entity/Q5056508,"Cecily Bonville, 7th Baroness Harington",p10756.htm#i107551,1460-07-09T00:00:00Z,1529-05-22T00:00:00Z,,http://www.wikidata.org/prop/direct/P21,http://www.wikidata.org/prop/direct/P21,http://www.wikidata.org/entity/Q6581072,female
http://www.wikidata.org/entity/Q5056508,"Cecily Bonville, 7th Baroness Harington",p10756.htm#i107551,1460-07-09T00:00:00Z,1530-01-01T00:00:00Z,,http://www.wikidata.org/prop/direct/P21,http://www.wikidata.org/prop/direct/P21,http://www.wikidata.org/entity/Q6581072,female
http://www.wikidata.org/entity/Q5056508,"Cecily Bonville, 7th Baroness Harington",p10756.htm#i107551,1460-07-09T00:00:00Z,1529-05-22T00:00:00Z,,http://www.wikidata.org/prop/direct/P22,http://www.wikidata.org/prop/direct/P22,http://www.wikidata.org/entity/Q8005700,"William Bonville, 6th Baron Harington"
http://www.wikidata.org/entity/Q5056508,"Cecily Bonville, 7th Baroness Harington",p10756.htm#i107551,1460-07-09T00:00:00Z,1530-01-01T00:00:00Z,,http://www.wikidata.org/prop/direct/P22,http://www.wikidata.org/prop/direct/P22,http://www.wikidata.org/entity/Q8005700,"William Bonville, 6th Baron Harington"
http://www.wikidata.org/entity/Q5056508,"Cecily Bonville, 7th Baroness Harington",p10756.htm#i107551,1460-07-09T00:00:00Z,1529-05-22T00:00:00Z,,http://www.wikidata.org/prop/direct/P25,http://www.wikidata.org/prop/direct/P25,http://www.wikidata.org/entity/Q6376498,"Katherine Neville, Baroness Hastings"
http://www.wikidata.org/entity/Q5056508,"Cecily Bonville, 7th Baroness Harington",p10756.htm#i107551,1460-07-09T00:00:00Z,1530-01-01T00:00:00Z,,http://www.wikidata.org/prop/direct/P25,http://www.wikidata.org/prop/direct/P25,http://www.wikidata.org/entity/Q6376498,"Katherine Neville, Baroness Hastings"
